year,month,month_name,type,locale,holiday_count
2015,8,August,Holiday,National,1
2015,9,September,Holiday,Local,1
2015,10,October,Holiday,Local,1
2015,10,October,Holiday,National,1
2015,11,November,Event,National,2
2015,11,November,Holiday,Local,3
2015,11,November,Holiday,National,2
2015,11,November,Holiday,Regional,2
2015,12,December,Additional,Local,1
2015,12,December,Additional,National,6
2015,12,December,Holiday,Local,3
2015,12,December,Holiday,National,1
2016,1,January,Holiday,National,1
2016,2,February,Holiday,National,2
2016,3,March,Holiday,Local,1
2016,3,March,Holiday,National,1
2016,4,April,Event,National,15
2016,4,April,Holiday,Local,3
2016,4,April,Holiday,Regional,1
2016,5,May,Additional,National,1
2016,5,May,Event,National,17
2016,5,May,Holiday,Local,1
2016,5,May,Holiday,National,2
2016,5,May,Transfer,National,1
2016,6,June,Holiday,Local,3
2016,6,June,Holiday,Regional,1
2016,7,July,Additional,Local,1
2016,7,July,Holiday,Local,4
2016,7,July,Transfer,Local,1
2016,8,August,Holiday,Local,3
2016,8,August,Holiday,National,1
2016,8,August,Transfer,National,1
2016,9,September,Holiday,Local,1
2016,10,October,Holiday,Local,1
2016,10,October,Holiday,National,1
2016,11,November,Bridge,National,1
2016,11,November,Event,National,2
2016,11,November,Holiday,Local,3
2016,11,November,Holiday,National,2
2016,11,November,Holiday,Regional,2
2016,11,November,Work Day,National,1
2016,12,December,Additional,Local,1
2016,12,December,Additional,National,6
2016,12,December,Holiday,Local,3
2016,12,December,Holiday,National,1
2017,1,January,Holiday,National,1
2017,1,January,Transfer,National,1
2017,2,February,Holiday,National,2
2017,3,March,Holiday,Local,1
2017,4,April,Holiday,Local,3
2017,4,April,Holiday,National,1
2017,4,April,Holiday,Regional,1
2017,4,April,Transfer,Local,1
2017,5,May,Additional,National,1
2017,5,May,Event,National,1
2017,5,May,Holiday,Local,1
2017,5,May,Holiday,National,2
2017,5,May,Transfer,National,1
2017,6,June,Holiday,Local,3
2017,6,June,Holiday,Regional,1
2017,7,July,Additional,Local,2
2017,7,July,Holiday,Local,3
2017,8,August,Holiday,Local,3
2017,8,August,Holiday,National,1
2017,8,August,Transfer,National,1
2017,9,September,Holiday,Local,1
2017,9,September,Transfer,Local,1
2017,10,October,Holiday,Local,1
2017,10,October,Holiday,National,1
2017,11,November,Holiday,Local,3
2017,11,November,Holiday,National,2
2017,11,November,Holiday,Regional,2
2017,12,December,Additional,Local,1
2017,12,December,Additional,National,5
2017,12,December,Holiday,Local,3
2017,12,December,Holiday,National,1
2017,12,December,Transfer,Local,1
